gender,monthly_income,utility_bill_average,repayment_history_pct,employment_length,default_status
Non-Binary,59450,2389.0,87.0,< 1 year,0
Male,74845,2723.0,95.0,4-7 years,0
Male,44957,,65.0,1-3 years,0
Male,45014,500.0,94.0,< 1 year,0
Non-Binary,36807,2751.0,56.0,< 1 year,1
Non-Binary,30815,1996.0,86.0,8+ years,0
Male,43834,2588.0,51.0,< 1 year,1
Male,57635,2019.0,93.0,1-3 years,0
Male,42974,3981.0,74.0,< 1 year,1
Non-Binary,36134,2316.0,82.0,1-3 years,0
Non-Binary,55132,932.0,48.0,8+ years,0
Male,54952,2674.0,92.0,8+ years,0
Non-Binary,50265,2259.0,45.0,4-7 years,0
Male,41202,1422.0,57.0,1-3 years,0
Non-Binary,56861,2191.0,61.0,8+ years,1
Female,52340,,92.0,4-7 years,0
Male,39411,2252.0,81.0,1-3 years,0
Female,56706,2357.0,66.0,< 1 year,0
Male,64187,3584.0,73.0,8+ years,0
Male,67052,3278.0,90.0,4-7 years,0
Female,44570,3751.0,22.0,4-7 years,1
Male,64328,,95.0,8+ years,0
Non-Binary,48704,2785.0,100.0,< 1 year,0
Female,38780,2330.0,66.0,< 1 year,0
Non-Binary,65731,2763.0,64.0,4-7 years,0
Non-Binary,59699,3597.0,78.0,4-7 years,0
Non-Binary,41469,2237.0,67.0,1-3 years,0
Non-Binary,30047,500.0,81.0,< 1 year,0
Male,46859,1858.0,71.0,1-3 years,0
Female,49848,1745.0,100.0,< 1 year,0
Male,23218,2478.0,76.0,< 1 year,0
Female,74558,2882.0,69.0,4-7 years,0
Female,44583,1565.0,97.0,4-7 years,0
Male,63278,1858.0,100.0,4-7 years,0
Female,52042,4252.0,55.0,1-3 years,1
Non-Binary,43505,3865.0,92.0,4-7 years,1
Non-Binary,28740,,,< 1 year,1
Non-Binary,59103,2996.0,71.0,1-3 years,0
Non-Binary,40251,2242.0,,1-3 years,0
Male,33537,3591.0,100.0,8+ years,0
Female,48118,,,4-7 years,0
Non-Binary,32193,2994.0,99.0,1-3 years,0
Non-Binary,56396,,100.0,4-7 years,0
Male,59107,,55.0,1-3 years,1
Male,69378,1843.0,94.0,4-7 years,0
Female,49953,1805.0,77.0,4-7 years,0
Male,38657,1847.0,73.0,1-3 years,0
Non-Binary,57117,3467.0,85.0,4-7 years,0
Male,48030,4676.0,87.0,8+ years,0
Female,34714,2533.0,72.0,8+ years,0
Male,48648,3071.0,84.0,4-7 years,0
Male,50907,2138.0,90.0,1-3 years,0
Non-Binary,45302,3185.0,79.0,4-7 years,0
Non-Binary,33313,3004.0,,8+ years,0
Non-Binary,52873,1585.0,82.0,8+ years,0
Female,51729,,100.0,1-3 years,0
Male,59725,2911.0,,8+ years,0
Male,109790,3564.0,94.0,< 1 year,0
Male,47270,,59.0,1-3 years,1
Non-Binary,48447,2468.0,64.0,1-3 years,0
Non-Binary,62293,1209.0,65.0,8+ years,0
Non-Binary,68334,3748.0,,< 1 year,0
Female,36235,,75.0,8+ years,0
Non-Binary,42225,3590.0,91.0,8+ years,0
Non-Binary,21622,2649.0,61.0,4-7 years,1
Non-Binary,64786,,100.0,< 1 year,0
Non-Binary,44875,1977.0,100.0,< 1 year,0
Non-Binary,58074,,100.0,4-7 years,0
Non-Binary,29209,2112.0,100.0,4-7 years,1
Male,41384,2310.0,100.0,4-7 years,0
Female,15000,1680.0,69.0,1-3 years,1
Female,30026,3734.0,100.0,< 1 year,1
Non-Binary,73619,1351.0,98.0,4-7 years,0
Non-Binary,52153,2338.0,76.0,1-3 years,0
Non-Binary,53702,3029.0,100.0,< 1 year,0
Non-Binary,33432,3049.0,76.0,4-7 years,0
Non-Binary,56214,2001.0,70.0,1-3 years,0
Male,44604,2002.0,67.0,4-7 years,0
Male,65493,2745.0,91.0,< 1 year,0
Non-Binary,61444,,60.0,4-7 years,0
Female,44749,2593.0,100.0,< 1 year,0
Male,43126,3742.0,66.0,4-7 years,0
Female,60665,2516.0,88.0,1-3 years,0
Male,47345,2283.0,62.0,1-3 years,0
Non-Binary,53454,2976.0,58.0,< 1 year,1
Male,83385,3463.0,51.0,8+ years,0
Male,61361,3002.0,74.0,1-3 years,0
Male,38541,827.0,100.0,8+ years,0
Non-Binary,39617,2242.0,83.0,1-3 years,0
Female,38235,2153.0,79.0,8+ years,0
Male,44934,2685.0,46.0,1-3 years,0
Non-Binary,30888,1968.0,100.0,4-7 years,0
Female,48730,3680.0,92.0,4-7 years,0
Female,43080,2258.0,74.0,8+ years,0
Male,56840,1838.0,85.0,1-3 years,0
Male,74991,1343.0,58.0,< 1 year,0
Female,47689,2510.0,76.0,< 1 year,0
Non-Binary,40404,4320.0,83.0,1-3 years,0
Non-Binary,84297,1886.0,92.0,1-3 years,1
Male,54750,2411.0,94.0,< 1 year,0
Non-Binary,39404,2020.0,32.0,< 1 year,1
Male,44113,969.0,82.0,< 1 year,0
Male,38523,,,4-7 years,0
Male,79471,2441.0,69.0,1-3 years,0
Female,24442,3583.0,72.0,8+ years,1
Male,70567,2413.0,73.0,1-3 years,0
Non-Binary,52078,2537.0,65.0,8+ years,0
Male,61342,1405.0,85.0,8+ years,0
Female,26590,3522.0,81.0,1-3 years,0
Male,40772,2591.0,100.0,< 1 year,0
Non-Binary,82911,3904.0,70.0,8+ years,0
Female,56658,3691.0,92.0,8+ years,0
Female,57701,1093.0,51.0,8+ years,0
Non-Binary,21411,2660.0,31.0,< 1 year,0
Non-Binary,76429,1395.0,40.0,< 1 year,1
Male,51166,2495.0,83.0,8+ years,0
Non-Binary,32432,3035.0,,4-7 years,0
Male,37901,3097.0,69.0,1-3 years,0
Male,37214,,64.0,1-3 years,1
Non-Binary,40106,1352.0,71.0,8+ years,0
Male,81470,2528.0,61.0,8+ years,0
Male,55209,3181.0,62.0,4-7 years,0
Female,38633,2039.0,69.0,1-3 years,0
Male,17471,1998.0,31.0,8+ years,0
Non-Binary,60648,2749.0,100.0,< 1 year,0
Male,68793,3719.0,25.0,< 1 year,1
Male,40654,1362.0,62.0,1-3 years,0
Male,35776,,93.0,8+ years,0
Female,44904,3683.0,76.0,8+ years,0
Male,39080,2147.0,100.0,8+ years,0
Male,38865,1393.0,93.0,1-3 years,0
Female,67912,2522.0,77.0,< 1 year,0
Female,37192,2110.0,63.0,4-7 years,0
Female,34632,500.0,,4-7 years,0
Female,42132,1773.0,63.0,8+ years,0
Male,63330,2922.0,79.0,1-3 years,0
Female,24967,2934.0,61.0,1-3 years,1
Male,60558,2723.0,20.0,< 1 year,1
Non-Binary,55895,1776.0,87.0,4-7 years,0
Male,27077,4727.0,42.0,< 1 year,1
Non-Binary,39093,2192.0,95.0,8+ years,0
Non-Binary,43346,3385.0,90.0,1-3 years,0
Male,15000,1862.0,86.0,< 1 year,0
Male,48954,2635.0,76.0,< 1 year,0
Non-Binary,53298,2375.0,98.0,< 1 year,0
Non-Binary,55816,2024.0,86.0,1-3 years,0
Female,49733,,80.0,< 1 year,0
Non-Binary,83131,2283.0,93.0,1-3 years,0
Non-Binary,21428,1693.0,37.0,< 1 year,0
Non-Binary,46727,1235.0,75.0,< 1 year,0
Female,54952,731.0,79.0,4-7 years,0
Female,54250,2632.0,86.0,1-3 years,0
Non-Binary,57077,,87.0,4-7 years,0
Male,86060,2110.0,83.0,4-7 years,0
Female,54964,1815.0,76.0,1-3 years,0
Non-Binary,44835,2221.0,91.0,4-7 years,0
Female,41761,,66.0,4-7 years,0
Male,57659,3271.0,94.0,< 1 year,0
Female,49961,4001.0,59.0,< 1 year,1
Male,33330,2636.0,91.0,1-3 years,0
Non-Binary,61815,2455.0,,4-7 years,0
Male,35117,2337.0,75.0,4-7 years,0
Male,53640,3080.0,84.0,1-3 years,0
Female,47686,2700.0,52.0,4-7 years,1
Male,75897,2091.0,55.0,8+ years,0
Non-Binary,50113,4530.0,85.0,4-7 years,0
Non-Binary,49629,2158.0,54.0,< 1 year,1
Non-Binary,27177,2316.0,87.0,4-7 years,0
Non-Binary,46963,3835.0,69.0,< 1 year,0
Male,29452,2494.0,48.0,4-7 years,1
Male,48535,3056.0,100.0,< 1 year,1
Non-Binary,68898,1686.0,85.0,1-3 years,0
Female,41773,1614.0,100.0,4-7 years,0
Non-Binary,52888,1873.0,88.0,1-3 years,0
Non-Binary,43395,,74.0,4-7 years,0
Male,43848,3610.0,21.0,4-7 years,1
Non-Binary,70691,841.0,68.0,8+ years,0
Female,40542,2380.0,85.0,< 1 year,0
Male,35341,3901.0,93.0,8+ years,1
Female,60258,1936.0,60.0,< 1 year,0
Male,44132,2891.0,50.0,4-7 years,1
Male,62694,3151.0,56.0,4-7 years,0
Male,46585,3427.0,53.0,8+ years,1
Non-Binary,61239,1164.0,100.0,8+ years,0
Non-Binary,44159,3339.0,60.0,< 1 year,1
Male,30873,3105.0,46.0,< 1 year,1
Non-Binary,20771,3857.0,79.0,1-3 years,0
Non-Binary,50549,3277.0,74.0,< 1 year,0
Female,40636,,81.0,1-3 years,0
Female,24477,,66.0,1-3 years,0
Male,52276,2778.0,64.0,4-7 years,1
Female,35660,1196.0,86.0,< 1 year,0
Female,57349,,,1-3 years,0
Non-Binary,66740,1696.0,85.0,1-3 years,0
Non-Binary,24386,1476.0,62.0,< 1 year,1
Female,45313,,78.0,8+ years,0
Non-Binary,42827,1374.0,56.0,1-3 years,0
Male,31724,2959.0,39.0,1-3 years,1
Male,59399,2647.0,57.0,8+ years,1
Male,62504,2986.0,44.0,1-3 years,1
Non-Binary,90401,2423.0,97.0,4-7 years,0
Female,36561,,68.0,1-3 years,0
Female,37476,3949.0,89.0,1-3 years,0
Non-Binary,43562,1629.0,93.0,< 1 year,0
Female,36274,,73.0,< 1 year,0
Female,52448,3351.0,77.0,1-3 years,0
Male,60396,3364.0,,8+ years,0
Female,50510,1278.0,73.0,4-7 years,0
Male,58444,2666.0,80.0,1-3 years,0
Male,32848,2857.0,70.0,1-3 years,0
Female,44525,3045.0,75.0,4-7 years,0
Female,45357,1375.0,85.0,< 1 year,0
Female,47665,2117.0,100.0,4-7 years,0
Non-Binary,38580,2830.0,36.0,8+ years,0
Non-Binary,67477,1311.0,80.0,4-7 years,0
Male,65344,3070.0,75.0,< 1 year,0
Female,38792,3627.0,100.0,1-3 years,0
Non-Binary,46557,1154.0,39.0,4-7 years,0
Male,45697,2274.0,48.0,< 1 year,1
Non-Binary,38220,953.0,50.0,8+ years,1
Female,56811,2328.0,74.0,4-7 years,0
Female,53097,3433.0,100.0,< 1 year,0
Female,37347,2075.0,62.0,1-3 years,0
Female,38334,2103.0,71.0,< 1 year,0
Non-Binary,73307,2043.0,58.0,8+ years,0
Male,59071,1935.0,60.0,1-3 years,0
Female,63570,3936.0,62.0,8+ years,0
Male,46184,2934.0,96.0,4-7 years,0
Non-Binary,49345,1861.0,47.0,4-7 years,0
Non-Binary,41036,1827.0,74.0,< 1 year,0
Non-Binary,44235,2679.0,74.0,4-7 years,0
Non-Binary,69825,3464.0,81.0,4-7 years,0
Non-Binary,62228,3977.0,86.0,8+ years,0
Female,40688,3246.0,83.0,8+ years,0
Non-Binary,64307,2905.0,96.0,4-7 years,0
Non-Binary,69539,1980.0,84.0,1-3 years,0
Male,49493,,99.0,8+ years,0
Non-Binary,39745,2834.0,83.0,8+ years,0
Non-Binary,54866,2537.0,47.0,1-3 years,1
Non-Binary,63193,3696.0,79.0,4-7 years,0
Female,47992,3761.0,73.0,< 1 year,0
Female,48348,2640.0,83.0,4-7 years,0
Male,68104,1678.0,77.0,8+ years,0
Non-Binary,41498,2115.0,77.0,4-7 years,0
Female,38292,2801.0,100.0,8+ years,0
Female,44210,1139.0,66.0,1-3 years,0
Non-Binary,30279,740.0,83.0,8+ years,0
Non-Binary,44469,3397.0,100.0,1-3 years,0
Non-Binary,61753,2420.0,,< 1 year,0
Female,32158,3218.0,70.0,4-7 years,1
Male,33226,3655.0,73.0,1-3 years,0
Non-Binary,68759,2715.0,70.0,4-7 years,0
Male,60546,2858.0,87.0,1-3 years,0
Male,71937,3499.0,84.0,< 1 year,0
Male,41854,3940.0,74.0,1-3 years,0
Female,27830,,86.0,< 1 year,0
Female,39645,988.0,65.0,8+ years,0
Non-Binary,15641,3318.0,53.0,1-3 years,0
Non-Binary,37495,2461.0,74.0,8+ years,0
Female,31099,2919.0,100.0,8+ years,1
Male,55125,,70.0,1-3 years,1
Non-Binary,41770,,60.0,< 1 year,1
Male,78965,3012.0,63.0,8+ years,0
Male,60588,2720.0,59.0,1-3 years,0
Non-Binary,52894,1982.0,88.0,8+ years,0
Male,57902,2036.0,,1-3 years,0
Male,71760,2658.0,100.0,8+ years,0
Male,41662,2204.0,79.0,8+ years,0
Non-Binary,42228,2112.0,68.0,4-7 years,0
Female,50089,1674.0,64.0,8+ years,0
Non-Binary,51634,4213.0,100.0,8+ years,0
Male,58544,1597.0,86.0,8+ years,0
Female,41911,1165.0,82.0,4-7 years,0
Male,61707,1008.0,56.0,4-7 years,0
Non-Binary,55366,3337.0,100.0,8+ years,0
Non-Binary,45116,1193.0,63.0,1-3 years,0
Female,62718,3604.0,62.0,8+ years,0
Male,57937,2759.0,69.0,4-7 years,0
Male,60154,2203.0,90.0,4-7 years,0
Female,15000,1575.0,81.0,4-7 years,0
Non-Binary,32579,3428.0,65.0,< 1 year,0
Male,57197,1255.0,69.0,1-3 years,0
Male,53152,1473.0,94.0,8+ years,0
Non-Binary,44593,,47.0,1-3 years,0
Non-Binary,46770,2220.0,68.0,1-3 years,0
Male,83151,2790.0,,8+ years,0
Female,41891,2342.0,73.0,4-7 years,0
Non-Binary,51441,2395.0,54.0,8+ years,0
Female,45943,901.0,93.0,< 1 year,0
Male,57197,819.0,100.0,8+ years,0
Female,58298,1668.0,87.0,< 1 year,0
Non-Binary,36198,2721.0,61.0,8+ years,1
Female,42711,2673.0,92.0,< 1 year,0
Female,50948,2475.0,100.0,4-7 years,0
Female,47413,,97.0,8+ years,0
Non-Binary,69805,1628.0,100.0,1-3 years,0
Female,48631,1896.0,73.0,1-3 years,0
Female,48945,2772.0,100.0,8+ years,0
Female,42070,3271.0,98.0,< 1 year,0
Female,30268,3077.0,87.0,4-7 years,0
Non-Binary,49749,2600.0,71.0,8+ years,0
Non-Binary,52233,1477.0,42.0,1-3 years,1
Female,33103,777.0,62.0,1-3 years,0
Non-Binary,32153,2635.0,60.0,< 1 year,1
Female,36742,4301.0,94.0,< 1 year,0
Male,47127,2136.0,74.0,8+ years,0
Male,31156,,95.0,8+ years,0
Male,88596,3043.0,86.0,< 1 year,0
Female,54107,2724.0,,8+ years,0
Female,44248,2348.0,86.0,1-3 years,0
Female,24684,2421.0,55.0,4-7 years,0
Female,31756,970.0,82.0,8+ years,0
Female,33124,3252.0,55.0,8+ years,1
Female,42304,1724.0,86.0,< 1 year,0
Female,37783,2755.0,43.0,< 1 year,0
Non-Binary,58607,3617.0,73.0,< 1 year,0
Female,46502,2156.0,77.0,1-3 years,0
Non-Binary,60149,2272.0,83.0,< 1 year,0
Non-Binary,30960,3899.0,50.0,< 1 year,0
Male,41606,3142.0,63.0,1-3 years,1
Male,41897,2723.0,58.0,< 1 year,1
Non-Binary,84177,2919.0,60.0,1-3 years,0
Male,49220,2396.0,75.0,1-3 years,0
Female,43235,1270.0,80.0,< 1 year,0
Non-Binary,50675,4563.0,58.0,1-3 years,1
Female,64669,3281.0,97.0,4-7 years,0
Female,51827,3802.0,,1-3 years,0
Non-Binary,48946,1619.0,60.0,< 1 year,0
Male,52511,1884.0,79.0,4-7 years,0
Male,28661,2870.0,100.0,< 1 year,0
Female,59732,1532.0,100.0,8+ years,0
Female,50028,,61.0,1-3 years,0
Male,60081,1763.0,78.0,1-3 years,0
Male,30794,3766.0,68.0,4-7 years,1
Non-Binary,68369,2987.0,53.0,< 1 year,0
Non-Binary,47253,2558.0,90.0,< 1 year,0
Female,72831,2814.0,78.0,8+ years,0
Non-Binary,47363,2902.0,86.0,4-7 years,0
Male,40210,1435.0,38.0,4-7 years,1
Male,59619,4224.0,52.0,8+ years,1
Female,44927,3170.0,,< 1 year,0
Female,43813,2954.0,86.0,4-7 years,0
Non-Binary,49375,1895.0,,8+ years,0
Non-Binary,38522,2540.0,78.0,1-3 years,0
Female,44699,3154.0,100.0,1-3 years,0
Non-Binary,60367,500.0,76.0,4-7 years,0
Non-Binary,42857,2350.0,76.0,8+ years,0
Female,51356,1058.0,62.0,8+ years,0
Non-Binary,37909,2384.0,50.0,4-7 years,1
Female,52199,1726.0,83.0,1-3 years,0
Male,48798,,77.0,4-7 years,0
Female,40954,2049.0,66.0,1-3 years,0
Female,37639,2258.0,67.0,8+ years,0
Female,47044,1272.0,93.0,< 1 year,0
Female,15000,3247.0,47.0,4-7 years,1
Male,48628,3466.0,,8+ years,0
Male,43352,500.0,64.0,4-7 years,0
Female,49701,1704.0,,4-7 years,0
Female,59358,,74.0,4-7 years,0
Non-Binary,38000,3434.0,57.0,< 1 year,1
Non-Binary,31421,1209.0,100.0,1-3 years,0
Male,48860,3413.0,52.0,1-3 years,1
Non-Binary,62168,2109.0,100.0,8+ years,0
Female,37731,2721.0,90.0,1-3 years,0
Non-Binary,52480,1897.0,84.0,8+ years,0
Non-Binary,41834,2316.0,76.0,8+ years,0
Female,40616,2647.0,48.0,< 1 year,1
Male,37425,3044.0,98.0,4-7 years,0
Male,69785,3075.0,94.0,8+ years,0
Non-Binary,40648,1497.0,64.0,1-3 years,0
Female,60938,2944.0,,4-7 years,1
Female,70980,3664.0,100.0,4-7 years,0
Female,51459,,67.0,4-7 years,0
Female,34929,2024.0,49.0,8+ years,1
Female,69674,1617.0,70.0,4-7 years,0
Female,41678,1427.0,93.0,1-3 years,0
Male,49493,2726.0,70.0,1-3 years,0
Female,64288,3210.0,89.0,< 1 year,0
Non-Binary,54715,1462.0,82.0,1-3 years,0
Male,42229,2524.0,45.0,1-3 years,0
Non-Binary,56632,3861.0,79.0,8+ years,0
Female,76220,,87.0,4-7 years,0
Male,71346,3038.0,72.0,1-3 years,1
Female,30308,3162.0,56.0,1-3 years,0
Female,42491,1819.0,63.0,1-3 years,0
Female,52062,3075.0,100.0,< 1 year,0
Non-Binary,69949,2012.0,72.0,1-3 years,0
Female,45176,1340.0,52.0,< 1 year,1
Male,62835,2201.0,100.0,4-7 years,0
Non-Binary,46005,1140.0,100.0,1-3 years,0
Non-Binary,29115,,63.0,8+ years,1
Male,90372,2601.0,61.0,< 1 year,0
Non-Binary,82922,3466.0,95.0,4-7 years,0
Female,52110,2494.0,100.0,8+ years,0
Female,42957,2137.0,88.0,4-7 years,0
Male,66329,500.0,91.0,< 1 year,0
Female,36398,1006.0,73.0,8+ years,0
Male,50173,2651.0,86.0,< 1 year,0
Female,59652,2965.0,70.0,8+ years,0
Male,37608,3458.0,36.0,< 1 year,1
Male,44667,1604.0,,1-3 years,0
Non-Binary,25473,3326.0,71.0,4-7 years,0
Male,59704,2073.0,51.0,1-3 years,1
Male,15000,2664.0,67.0,8+ years,1
Non-Binary,76918,2134.0,62.0,1-3 years,0
Non-Binary,59031,2816.0,63.0,8+ years,0
Female,43798,2337.0,57.0,8+ years,0
Female,35077,1827.0,56.0,8+ years,0
Female,62912,2283.0,74.0,< 1 year,1
Non-Binary,40791,2581.0,52.0,< 1 year,1
Male,63052,2274.0,76.0,1-3 years,0
Female,51191,2412.0,62.0,< 1 year,0
Male,63913,1496.0,80.0,1-3 years,0
Male,31651,2563.0,81.0,< 1 year,0
Male,40981,,79.0,< 1 year,0
Female,58783,2263.0,78.0,8+ years,0
Non-Binary,39586,2568.0,53.0,8+ years,1
Female,15000,2141.0,100.0,< 1 year,0
Male,61287,4145.0,75.0,4-7 years,0
Non-Binary,41079,1982.0,73.0,4-7 years,0
Non-Binary,42310,1860.0,65.0,8+ years,0
Male,37700,1343.0,76.0,1-3 years,0
Female,41498,1249.0,92.0,1-3 years,0
Female,44065,,74.0,< 1 year,0
Non-Binary,45604,,77.0,1-3 years,0
Non-Binary,30425,2790.0,100.0,1-3 years,0
Female,39632,3524.0,76.0,1-3 years,0
Male,64791,3286.0,88.0,< 1 year,0
Male,46978,,55.0,4-7 years,1
Non-Binary,58353,1911.0,79.0,4-7 years,0
Female,45290,3629.0,73.0,< 1 year,0
Female,50428,3418.0,100.0,4-7 years,0
Non-Binary,49192,3288.0,98.0,8+ years,0
Female,76074,1855.0,86.0,8+ years,0
Female,47021,3554.0,54.0,< 1 year,1
